"日期","收盘","开盘","高","低","涨跌幅"
"2023年10月31日","0.528","0.528","0.528","0.528","-0.94%"
"2023年10月30日","0.533","0.533","0.533","0.533","0.57%"
"2023年10月27日","0.530","0.530","0.530","0.530","0.95%"
"2023年10月26日","0.525","0.525","0.525","0.525","1.74%"
"2023年10月25日","0.516","0.516","0.516","0.516","-1.71%"
"2023年10月24日","0.525","0.525","0.525","0.525","-2.60%"
"2023年10月23日","0.539","0.539","0.539","0.539","-1.64%"
"2023年10月20日","0.548","0.548","0.548","0.548","3.20%"
"2023年10月19日","0.531","0.531","0.531","0.531","-1.12%"
"2023年10月18日","0.537","0.537","0.537","0.537","1.70%"
"2023年10月17日","0.528","0.528","0.528","0.528","0.38%"
"2023年10月16日","0.526","0.526","0.526","0.526","1.54%"
"2023年10月13日","0.518","0.518","0.518","0.518","-0.58%"
"2023年10月12日","0.521","0.521","0.521","0.521","-0.38%"
"2023年10月11日","0.523","0.523","0.523","0.523","1.55%"
"2023年10月10日","0.515","0.515","0.515","0.515","0.59%"
"2023年10月9日","0.512","0.512","0.512","0.512","-2.48%"
"2023年10月6日","0.525","0.525","0.525","0.525","0.00%"
"2023年10月5日","0.525","0.525","0.525","0.525","0.00%"
"2023年10月4日","0.525","0.525","0.525","0.525","0.00%"
"2023年10月3日","0.525","0.525","0.525","0.525","0.00%"
"2023年10月2日","0.525","0.525","0.525","0.525","0.00%"
"2023年9月29日","0.525","0.525","0.525","0.525","0.00%"
"2023年9月28日","0.525","0.525","0.525","0.525","2.74%"
"2023年9月27日","0.511","0.511","0.511","0.511","1.79%"
"2023年9月26日","0.502","0.502","0.502","0.502","-1.57%"
"2023年9月25日","0.510","0.510","0.510","0.510","-0.20%"
"2023年9月22日","0.511","0.511","0.511","0.511","-1.92%"
"2023年9月21日","0.521","0.521","0.521","0.521","0.19%"
"2023年9月20日","0.520","0.520","0.520","0.520","-1.33%"
"2023年9月19日","0.527","0.527","0.527","0.527","0.19%"
"2023年9月18日","0.526","0.526","0.526","0.526","1.35%"
"2023年9月15日","0.519","0.519","0.519","0.519","0.97%"
"2023年9月14日","0.514","0.514","0.514","0.514","0.78%"
"2023年9月13日","0.510","0.510","0.510","0.510","-0.58%"
"2023年9月12日","0.513","0.513","0.513","0.513","-0.77%"
"2023年9月11日","0.517","0.517","0.517","0.517","-0.19%"
"2023年9月8日","0.518","0.518","0.518","0.518","1.37%"
"2023年9月7日","0.511","0.511","0.511","0.511","-1.54%"
"2023年9月6日","0.519","0.519","0.519","0.519","0.97%"
"2023年9月5日","0.514","0.514","0.514","0.514","0.78%"
"2023年9月4日","0.510","0.510","0.510","0.510","0.20%"
"2023年9月1日","0.509","0.509","0.509","0.509","1.19%"
"2023年8月31日","0.503","0.503","0.503","0.503","0.40%"
"2023年8月30日","0.501","0.501","0.501","0.501","0.40%"
"2023年8月29日","0.499","0.499","0.499","0.499","0.40%"
"2023年8月28日","0.497","0.497","0.497","0.497","0.00%"
"2023年8月25日","0.497","0.497","0.497","0.497","1.22%"
"2023年8月24日","0.491","0.491","0.491","0.491","0.82%"
"2023年8月23日","0.487","0.487","0.487","0.487","0.41%"
"2023年8月22日","0.485","0.485","0.485","0.485","0.00%"
"2023年8月21日","0.485","0.485","0.485","0.485","0.62%"
"2023年8月18日","0.482","0.482","0.482","0.482","-0.21%"
"2023年8月17日","0.483","0.483","0.483","0.483","-3.40%"
"2023年8月16日","0.500","0.500","0.500","0.500","-0.40%"
"2023年8月15日","0.502","0.502","0.502","0.502","0.20%"
"2023年8月14日","0.501","0.501","0.501","0.501","0.00%"
"2023年8月11日","0.501","0.501","0.501","0.501","1.01%"
"2023年8月10日","0.496","0.496","0.496","0.496","1.02%"
"2023年8月9日","0.491","0.491","0.491","0.491","0.00%"
"2023年8月8日","0.491","0.491","0.491","0.491","-0.20%"
"2023年8月7日","0.492","0.492","0.492","0.492","0.00%"
"2023年8月4日","0.492","0.492","0.492","0.492","0.00%"
"2023年8月3日","0.492","0.492","0.492","0.492","-1.20%"
"2023年8月2日","0.498","0.498","0.498","0.498","0.40%"
"2023年8月1日","0.496","0.496","0.496","0.496","0.81%"
"2023年7月31日","0.492","0.492","0.492","0.492","-0.61%"
"2023年7月28日","0.495","0.495","0.495","0.495","-0.80%"
"2023年7月27日","0.499","0.499","0.499","0.499","0.81%"
"2023年7月26日","0.495","0.495","0.495","0.495","-0.20%"
"2023年7月25日","0.496","0.496","0.496","0.496","0.61%"
"2023年7月24日","0.493","0.493","0.493","0.493","0.61%"
"2023年7月21日","0.490","0.490","0.490","0.490","0.82%"
"2023年7月20日","0.486","0.486","0.486","0.486","-0.61%"
"2023年7月19日","0.489","0.489","0.489","0.489","0.82%"
"2023年7月18日","0.485","0.485","0.485","0.485","0.62%"
"2023年7月17日","0.482","0.482","0.482","0.482","-3.02%"
"2023年7月14日","0.497","0.497","0.497","0.497","-0.60%"
"2023年7月13日","0.500","0.500","0.500","0.500","1.01%"
"2023年7月12日","0.495","0.495","0.495","0.495","0.20%"
"2023年7月11日","0.494","0.494","0.494","0.494","0.20%"
"2023年7月10日","0.493","0.493","0.493","0.493","1.02%"
"2023年7月7日","0.488","0.488","0.488","0.488","-1.01%"
"2023年7月6日","0.493","0.493","0.493","0.493","0.61%"
"2023年7月5日","0.490","0.490","0.490","0.490","0.62%"
"2023年7月4日","0.487","0.487","0.487","0.487","-1.02%"
"2023年7月3日","0.492","0.492","0.492","0.492","0.41%"
"2023年6月30日","0.490","0.490","0.490","0.490","1.24%"
"2023年6月29日","0.484","0.484","0.484","0.484","0.62%"
"2023年6月28日","0.481","0.481","0.481","0.481","-1.03%"
"2023年6月27日","0.486","0.486","0.486","0.486","0.41%"
"2023年6月26日","0.484","0.484","0.484","0.484","1.04%"
"2023年6月23日","0.479","0.479","0.479","0.479","0.00%"
"2023年6月22日","0.479","0.479","0.479","0.479","0.00%"
"2023年6月21日","0.479","0.479","0.479","0.479","-0.62%"
"2023年6月20日","0.482","0.482","0.482","0.482","0.42%"
"2023年6月19日","0.480","0.480","0.480","0.480","1.05%"
"2023年6月16日","0.475","0.475","0.475","0.475","1.50%"
"2023年6月15日","0.468","0.468","0.468","0.468","0.21%"
"2023年6月14日","0.467","0.467","0.467","0.467","0.65%"
"2023年6月13日","0.464","0.464","0.464","0.464","0.00%"
"2023年6月12日","0.464","0.464","0.464","0.464","-0.85%"
"2023年6月9日","0.468","0.468","0.468","0.468","0.65%"
"2023年6月8日","0.465","0.465","0.465","0.465","0.43%"
"2023年6月7日","0.463","0.463","0.463","0.463","-0.43%"
"2023年6月6日","0.465","0.465","0.465","0.465","-1.06%"
"2023年6月5日","0.470","0.470","0.470","0.470","0.21%"
"2023年6月2日","0.469","0.469","0.469","0.469","0.86%"
"2023年6月1日","0.465","0.465","0.465","0.465","0.22%"
"2023年5月31日","0.464","0.464","0.464","0.464","-0.64%"
"2023年5月30日","0.467","0.467","0.467","0.467","-0.64%"
"2023年5月29日","0.470","0.470","0.470","0.470","0.43%"
"2023年5月26日","0.468","0.468","0.468","0.468","-0.21%"
"2023年5月25日","0.469","0.469","0.469","0.469","-0.85%"
"2023年5月24日","0.473","0.473","0.473","0.473","-0.63%"
"2023年5月23日","0.476","0.476","0.476","0.476","0.21%"
"2023年5月22日","0.475","0.475","0.475","0.475","1.28%"
"2023年5月19日","0.469","0.469","0.469","0.469","0.00%"
"2023年5月18日","0.469","0.469","0.469","0.469","1.74%"
"2023年5月17日","0.461","0.461","0.461","0.461","-0.86%"
"2023年5月16日","0.465","0.465","0.465","0.465","1.09%"
"2023年5月15日","0.460","0.460","0.460","0.460","-0.65%"
"2023年5月12日","0.463","0.463","0.463","0.463","-1.07%"
"2023年5月11日","0.468","0.468","0.468","0.468","0.00%"
"2023年5月10日","0.468","0.468","0.468","0.468","1.74%"
"2023年5月9日","0.460","0.460","0.460","0.460","0.00%"
"2023年5月8日","0.460","0.460","0.460","0.460","-1.29%"
"2023年5月5日","0.466","0.466","0.466","0.466","0.87%"
"2023年5月4日","0.462","0.462","0.462","0.462","-0.22%"
"2023年5月3日","0.463","0.463","0.463","0.463","0.00%"
"2023年5月2日","0.463","0.463","0.463","0.463","0.00%"
"2023年5月1日","0.463","0.463","0.463","0.463","0.00%"
"2023年4月28日","0.463","0.463","0.463","0.463","0.65%"
"2023年4月27日","0.460","0.460","0.460","0.460","-0.43%"
"2023年4月26日","0.462","0.462","0.462","0.462","-0.43%"
"2023年4月25日","0.464","0.464","0.464","0.464","0.65%"
"2023年4月24日","0.461","0.461","0.461","0.461","0.66%"
"2023年4月21日","0.458","0.458","0.458","0.458","-0.65%"
"2023年4月20日","0.461","0.461","0.461","0.461","-0.86%"
"2023年4月19日","0.465","0.465","0.465","0.465","-0.21%"
"2023年4月18日","0.466","0.466","0.466","0.466","-0.85%"
"2023年4月17日","0.470","0.470","0.470","0.470","-0.21%"
"2023年4月14日","0.471","0.471","0.471","0.471","1.51%"
"2023年4月13日","0.464","0.464","0.464","0.464","0.22%"
"2023年4月12日","0.463","0.463","0.463","0.463","0.65%"
"2023年4月11日","0.460","0.460","0.460","0.460","0.22%"
"2023年4月10日","0.459","0.459","0.459","0.459","0.00%"
"2023年4月7日","0.459","0.459","0.459","0.459","0.44%"
"2023年4月6日","0.457","0.457","0.457","0.457","-1.72%"
"2023年4月5日","0.465","0.465","0.465","0.465","0.00%"
"2023年4月4日","0.465","0.465","0.465","0.465","0.43%"
"2023年4月3日","0.463","0.463","0.463","0.463","1.76%"
"2023年3月31日","0.455","0.455","0.455","0.455","0.44%"
"2023年3月30日","0.453","0.453","0.453","0.453","-0.22%"
"2023年3月29日","0.454","0.454","0.454","0.454","-0.22%"
"2023年3月28日","0.455","0.455","0.455","0.455","1.11%"
"2023年3月27日","0.450","0.450","0.450","0.450","0.22%"
"2023年3月24日","0.449","0.449","0.449","0.449","0.45%"
"2023年3月23日","0.447","0.447","0.447","0.447","-0.67%"
"2023年3月22日","0.450","0.450","0.450","0.450","0.00%"
"2023年3月21日","0.450","0.450","0.450","0.450","1.12%"
"2023年3月20日","0.445","0.445","0.445","0.445","-0.45%"
"2023年3月17日","0.447","0.447","0.447","0.447","-0.22%"
"2023年3月16日","0.448","0.448","0.448","0.448","-1.97%"
"2023年3月15日","0.457","0.457","0.457","0.457","1.11%"
"2023年3月14日","0.452","0.452","0.452","0.452","-1.53%"
"2023年3月13日","0.459","0.459","0.459","0.459","0.88%"
"2023年3月10日","0.455","0.455","0.455","0.455","-0.22%"
"2023年3月9日","0.456","0.456","0.456","0.456","0.66%"
"2023年3月8日","0.453","0.453","0.453","0.453","-3.41%"
"2023年3月7日","0.469","0.469","0.469","0.469","1.74%"
"2023年3月6日","0.461","0.461","0.461","0.461","0.22%"
"2023年3月3日","0.460","0.460","0.460","0.460","0.66%"
"2023年3月2日","0.457","0.457","0.457","0.457","0.22%"
"2023年3月1日","0.456","0.456","0.456","0.456","0.44%"
"2023年2月28日","0.454","0.454","0.454","0.454","-0.22%"
"2023年2月27日","0.455","0.455","0.455","0.455","0.00%"
"2023年2月24日","0.455","0.455","0.455","0.455","1.11%"
"2023年2月23日","0.450","0.450","0.450","0.450","-0.44%"
"2023年2月22日","0.452","0.452","0.452","0.452","0.22%"
"2023年2月21日","0.451","0.451","0.451","0.451","0.45%"
"2023年2月20日","0.449","0.449","0.449","0.449","0.00%"
"2023年2月17日","0.449","0.449","0.449","0.449","-0.44%"
"2023年2月16日","0.451","0.451","0.451","0.451","0.45%"
"2023年2月15日","0.449","0.449","0.449","0.449","-0.66%"
"2023年2月14日","0.452","0.452","0.452","0.452","0.67%"
"2023年2月13日","0.449","0.449","0.449","0.449","0.22%"
"2023年2月10日","0.448","0.448","0.448","0.448","-1.10%"
"2023年2月9日","0.453","0.453","0.453","0.453","0.22%"
"2023年2月8日","0.452","0.452","0.452","0.452","0.67%"
"2023年2月7日","0.449","0.449","0.449","0.449","0.45%"
"2023年2月6日","0.447","0.447","0.447","0.447","-1.32%"
"2023年2月3日","0.453","0.453","0.453","0.453","-1.09%"
"2023年2月2日","0.458","0.458","0.458","0.458","-0.43%"
"2023年2月1日","0.460","0.460","0.460","0.460","1.55%"
"2023年1月31日","0.453","0.453","0.453","0.453","-1.31%"
"2023年1月30日","0.459","0.459","0.459","0.459","0.00%"
"2023年1月27日","0.459","0.459","0.459","0.459","0.00%"
"2023年1月26日","0.459","0.459","0.459","0.459","0.00%"
"2023年1月25日","0.459","0.459","0.459","0.459","0.00%"
"2023年1月24日","0.459","0.459","0.459","0.459","0.00%"
"2023年1月23日","0.459","0.459","0.459","0.459","0.00%"
"2023年1月20日","0.459","0.459","0.459","0.459","1.77%"
"2023年1月19日","0.451","0.451","0.451","0.451","-2.59%"
"2023年1月18日","0.463","0.463","0.463","0.463","1.54%"
"2023年1月17日","0.456","0.456","0.456","0.456","0.00%"
"2023年1月16日","0.456","0.456","0.456","0.456","1.11%"
"2023年1月13日","0.451","0.451","0.451","0.451","-0.44%"
"2023年1月12日","0.453","0.453","0.453","0.453","2.72%"
"2023年1月11日","0.441","0.441","0.441","0.441","0.46%"
"2023年1月10日","0.439","0.439","0.439","0.439","1.15%"
"2023年1月9日","0.434","0.434","0.434","0.434","0.23%"
"2023年1月6日","0.433","0.433","0.433","0.433","1.41%"
"2023年1月5日","0.427","0.427","0.427","0.427","-1.61%"
"2023年1月4日","0.434","0.434","0.434","0.434","-1.59%"
"2023年1月3日","0.441","0.441","0.441","0.441","0.92%"
"2023年1月2日","0.437","0.437","0.437","0.437","0.00%"
"2022年12月30日","0.437","0.437","0.437","0.437","0.00%"
"2022年12月29日","0.437","0.437","0.437","0.437","-0.46%"
"2022年12月28日","0.439","0.439","0.439","0.439","-0.90%"
"2022年12月27日","0.443","0.443","0.443","0.443","-0.45%"
"2022年12月26日","0.445","0.445","0.445","0.445","0.91%"
"2022年12月23日","0.441","0.441","0.441","0.441","-0.90%"
"2022年12月22日","0.445","0.445","0.445","0.445","1.60%"
"2022年12月21日","0.438","0.438","0.438","0.438","-0.23%"
"2022年12月20日","0.439","0.439","0.439","0.439","0.92%"
"2022年12月19日","0.435","0.435","0.435","0.435","-2.25%"
"2022年12月16日","0.445","0.445","0.445","0.445","-0.22%"
"2022年12月15日","0.446","0.446","0.446","0.446","0.68%"
"2022年12月14日","0.443","0.443","0.443","0.443","-0.67%"
"2022年12月13日","0.446","0.446","0.446","0.446","0.90%"
"2022年12月12日","0.442","0.442","0.442","0.442","0.00%"
"2022年12月9日","0.442","0.442","0.442","0.442","0.00%"
"2022年12月8日","0.442","0.442","0.442","0.442","-0.45%"
"2022年12月7日","0.444","0.444","0.444","0.444","-1.33%"
"2022年12月6日","0.450","0.450","0.450","0.450","-1.75%"
"2022年12月5日","0.458","0.458","0.458","0.458","0.00%"
"2022年12月2日","0.458","0.458","0.458","0.458","1.10%"
"2022年12月1日","0.453","0.453","0.453","0.453","0.44%"
"2022年11月30日","0.451","0.451","0.451","0.451","-0.22%"
"2022年11月29日","0.452","0.452","0.452","0.452","2.73%"
"2022年11月28日","0.440","0.440","0.440","0.440","-2.65%"
"2022年11月25日","0.452","0.452","0.452","0.452","0.89%"
"2022年11月24日","0.448","0.448","0.448","0.448","-2.61%"
"2022年11月23日","0.460","0.460","0.460","0.460","0.22%"
"2022年11月22日","0.459","0.459","0.459","0.459","-0.65%"
"2022年11月21日","0.462","0.462","0.462","0.462","-1.49%"
"2022年11月18日","0.469","0.469","0.469","0.469","-2.29%"
"2022年11月17日","0.480","0.480","0.480","0.480","-0.41%"
"2022年11月16日","0.482","0.482","0.482","0.482","1.05%"
"2022年11月15日","0.477","0.477","0.477","0.477","-1.45%"
"2022年11月14日","0.484","0.484","0.484","0.484","-0.82%"
"2022年11月11日","0.488","0.488","0.488","0.488","0.62%"
"2022年11月10日","0.485","0.485","0.485","0.485","-2.02%"
"2022年11月9日","0.495","0.495","0.495","0.495","-1.39%"
"2022年11月8日","0.502","0.502","0.502","0.502","0.80%"
"2022年11月7日","0.498","0.498","0.498","0.498","0.20%"
"2022年11月4日","0.497","0.497","0.497","0.497","0.61%"
"2022年11月3日","0.494","0.494","0.494","0.494","0.41%"
"2022年11月2日","0.492","0.492","0.492","0.492","0.82%"
"2022年11月1日","0.488","0.488","0.488","0.488","1.46%"
"2022年10月31日","0.481","0.481","0.481","0.481","-0.41%"
"2022年10月28日","0.483","0.483","0.483","0.483","0.63%"
"2022年10月27日","0.480","0.480","0.480","0.480","1.91%"
"2022年10月26日","0.471","0.471","0.471","0.471","-0.21%"
"2022年10月25日","0.472","0.472","0.472","0.472","0.64%"
"2022年10月24日","0.469","0.469","0.469","0.469","0.00%"
"2022年10月21日","0.469","0.469","0.469","0.469","-1.05%"
"2022年10月20日","0.474","0.474","0.474","0.474","1.72%"
"2022年10月19日","0.466","0.466","0.466","0.466","-1.06%"
"2022年10月18日","0.471","0.471","0.471","0.471","0.21%"
"2022年10月17日","0.470","0.470","0.470","0.470","-1.88%"
"2022年10月14日","0.479","0.479","0.479","0.479","2.13%"
"2022年10月13日","0.469","0.469","0.469","0.469","-1.26%"
"2022年10月12日","0.475","0.475","0.475","0.475","-1.25%"
"2022年10月11日","0.481","0.481","0.481","0.481","-1.03%"
"2022年10月10日","0.486","0.486","0.486","0.486","9.71%"
"2022年10月7日","0.443","0.443","0.443","0.443","0.00%"
"2022年10月6日","0.443","0.443","0.443","0.443","0.00%"
"2022年10月4日","0.443","0.443","0.443","0.443","0.00%"
"2022年10月3日","0.443","0.443","0.443","0.443","0.00%"
"2022年9月30日","0.443","0.443","0.443","0.443","-0.89%"
"2022年9月29日","0.447","0.447","0.447","0.447","-1.54%"
"2022年9月28日","0.454","0.438","0.454","0.438","3.42%"
"2022年9月27日","0.439","0.439","0.439","0.439","1.86%"
"2022年9月26日","0.431","0.431","0.431","0.431","-1.37%"
"2022年9月23日","0.437","0.437","0.437","0.437","-3.10%"
"2022年9月22日","0.451","0.451","0.451","0.451","0.67%"
"2022年9月21日","0.448","0.448","0.448","0.448","-0.22%"
"2022年9月20日","0.449","0.449","0.449","0.449","-0.66%"
"2022年9月19日","0.452","0.452","0.452","0.452","0.22%"
"2022年9月16日","0.451","0.451","0.451","0.451","0.45%"
"2022年9月15日","0.449","0.449","0.449","0.449","-2.60%"
"2022年9月14日","0.461","0.461","0.461","0.461","0.66%"
"2022年9月13日","0.458","0.458","0.458","0.458","3.62%"
"2022年9月12日","0.442","0.442","0.442","0.442","-2.86%"
"2022年9月9日","0.455","0.455","0.455","0.455","2.94%"
"2022年9月8日","0.442","0.442","0.442","0.442","0.45%"
"2022年9月7日","0.440","0.440","0.440","0.440","-4.35%"
"2022年9月6日","0.460","0.460","0.460","0.460","0.22%"
"2022年9月5日","0.459","0.459","0.459","0.459","0.22%"
"2022年9月2日","0.458","0.458","0.458","0.458","0.66%"
"2022年9月1日","0.455","0.455","0.455","0.455","-2.57%"
"2022年8月31日","0.467","0.467","0.467","0.467","-2.51%"
"2022年8月30日","0.479","0.479","0.479","0.479","-3.62%"
"2022年8月29日","0.497","0.497","0.497","0.497","3.54%"
"2022年8月26日","0.480","0.480","0.480","0.480","-0.62%"
"2022年8月25日","0.483","0.483","0.483","0.483","-1.63%"
"2022年8月24日","0.491","0.491","0.491","0.491","1.24%"
